time,04,09,20,21
3530,74.4,99.9,60.1,97.0
3535,74.1,99.7,59.8,96.8
3540,73.8,99.4,59.5,96.5
3545,73.6,99.2,59.3,96.2
3550,73.3,98.9,59.0,96.0
3555,73.1,98.6,58.8,95.7
3560,72.8,98.4,58.5,95.4
3565,72.5,98.1,58.2,95.2
3570,72.3,97.8,58.0,94.9
3575,72.0,97.6,57.7,94.7
3580,71.7,97.3,57.4,94.4
3585,71.5,97.0,57.2,94.1
3590,71.2,96.8,56.9,93.9
3595,70.9,96.5,56.6,93.6
3600,70.7,96.2,56.4,93.3
3605,70.4,96.0,56.1,93.1
3610,70.1,95.7,55.8,92.8
3615,69.9,95.4,55.7,92.5
3620,69.6,95.2,55.4,92.3
3625,69.4,94.9,55.1,92.0
3630,69.1,94.7,54.9,91.7
3635,68.8,94.4,54.6,91.5
3640,68.6,94.1,54.3,91.2
3645,68.3,93.9,54.1,91.0
3650,68.0,93.6,53.8,90.7
3655,67.8,93.3,53.5,90.4
3660,67.5,93.1,53.3,90.2
3665,67.2,92.8,53.0,89.9
3670,67.0,92.5,52.7,89.6
3675,66.7,92.3,52.5,89.4
3680,66.4,92.0,52.2,89.1
3685,66.2,91.8,51.9,88.9
3690,65.9,91.5,51.7,88.6
3695,65.7,91.2,51.4,88.3
3700,65.4,91.0,51.2,88.1
3705,65.1,90.7,50.9,87.8
3710,64.9,90.5,50.7,87.5
3715,64.6,90.2,50.4,87.3
3720,64.4,89.9,50.1,87.0
3725,64.1,89.7,49.9,86.7
3730,63.9,89.4,49.6,86.5
3735,63.6,89.1,49.3,86.2
3740,63.3,88.9,49.1,85.9
3745,63.1,88.6,48.8,85.7
3750,62.8,88.3,48.5,85.4
3755,62.5,88.1,48.3,85.2
3760,62.3,87.8,48.0,84.9
3765,62.0,87.6,47.8,84.7
3770,61.8,87.3,47.5,84.4
3775,61.5,87.1,47.2,84.1
3780,61.2,86.8,47.0,83.9
3785,61.0,86.5,46.7,83.6
3790,60.7,86.3,46.4,83.4
3795,60.4,86.0,46.2,83.1
3800,60.2,85.8,45.9,82.8
3805,59.9,85.5,45.7,82.6
3810,59.6,85.2,45.4,82.3
3815,59.4,85.0,45.2,82.0
3820,59.1,84.7,44.9,81.8
3825,58.8,84.4,44.6,81.5
3830,58.6,84.2,44.4,81.2
3835,58.3,83.9,44.1,81.0
3840,58.1,83.7,43.9,80.7
3845,57.8,83.4,43.6,80.5
3850,57.5,83.1,43.3,80.2
3855,57.3,82.9,43.1,79.9
3860,57.0,82.6,42.8,79.7
3865,56.7,82.3,42.5,79.4
3870,56.5,82.1,42.3,79.1
3875,56.2,81.8,42.0,78.9
3880,55.9,81.5,41.7,78.6
3885,55.7,81.3,41.5,78.3
3890,55.4,81.1,41.2,78.1
3895,55.1,80.8,41.0,77.8
3900,54.9,80.5,40.7,77.6
3905,54.6,80.3,40.4,77.3
3910,54.4,80.0,40.2,77.0
3915,54.2,79.7,39.9,76.8
3920,53.9,79.5,39.7,76.5
3925,53.6,79.2,39.4,76.2
3930,53.4,79.0,39.1,76.0
3935,53.1,78.7,38.9,75.7
3940,52.8,78.4,38.6,75.4
3945,52.6,78.2,38.3,75.2
3950,52.3,77.9,38.1,74.9
3955,52.0,77.6,37.8,74.6
3960,51.8,77.4,37.5,74.4
3965,51.5,77.1,37.3,74.2
3970,51.2,76.8,37.0,73.9
3975,51.0,76.6,36.7,73.6
3980,50.7,76.3,36.5,73.4
3985,50.5,76.1,36.2,73.1
3990,50.2,75.8,36.0,72.8
3995,49.9,75.5,35.7,72.6
4000,49.7,75.3,35.5,72.3
4005,49.4,75.0,35.2,72.0
4010,49.1,74.7,35.0,71.8
4015,48.9,74.5,34.7,71.5
4020,48.6,74.3,34.4,71.3
4025,48.3,74.0,34.2,71.0
4030,48.1,73.7,33.9,70.7
4035,47.8,73.5,33.6,70.5
4040,47.5,73.2,33.4,70.2
4045,47.3,72.9,33.1,70.0
4050,47.0,72.7,32.8,69.7
4055,46.8,72.4,32.6,69.4
4060,46.5,72.1,32.3,69.2
4065,46.2,71.9,32.1,68.9
4070,46.0,71.6,31.8,68.6
4075,45.7,71.3,31.5,68.4
4080,45.4,71.1,31.3,68.1
4085,45.2,70.8,31.0,67.8
4090,44.9,70.6,30.8,67.6
4095,44.6,70.3,30.5,67.3
4100,44.4,70.0,30.2,67.0
4105,44.2,69.8,30.0,66.8
4110,43.9,69.5,29.7,66.5
4115,43.6,69.2,29.4,66.2
4120,43.4,69.0,29.2,66.0
4125,43.1,68.7,28.9,65.7
4130,42.9,68.4,28.7,65.5
4135,42.6,68.2,28.4,65.2
4140,42.3,67.9,28.1,64.9
4145,42.1,67.7,27.9,64.7
4150,41.8,67.4,27.6,64.4
4155,41.5,67.2,27.3,64.2
4160,41.3,66.9,27.1,63.9
4165,41.0,66.6,26.8,63.7
4170,40.7,66.4,26.5,63.4
4175,40.5,66.1,26.3,63.1
4180,40.2,65.9,26.0,62.9
4185,39.9,65.6,25.7,62.6
4190,39.7,65.3,25.5,62.3
4195,39.4,65.1,25.2,62.1
4200,39.1,64.8,25.0,61.8
4205,38.9,64.5,24.7,61.5
4210,38.6,64.3,24.4,61.3
4215,38.4,64.0,24.2,61.0
4220,38.1,63.8,23.9,60.8
4225,37.8,63.5,23.6,60.5
4230,37.6,63.2,23.4,60.2
4235,37.3,63.0,23.1,60.0
4240,37.0,62.7,22.8,59.7
4245,36.8,62.4,22.6,59.4
4250,36.5,62.2,22.3,59.2
4255,36.2,61.9,22.1,58.9
4260,36.0,61.6,22.1,58.6
4265,35.7,61.4,22.1,58.4
4270,35.4,61.1,22.1,58.1
4275,35.2,60.9,22.1,57.9
4280,34.9,60.6,22.1,57.6
4285,34.7,60.4,22.1,57.3
4290,34.5,60.1,22.1,57.1
4295,34.2,59.8,22.1,56.8
4300,33.9,59.6,22.1,56.5
